Alert ID,Ticker,Name,Description,Time,DaTE,ime,Column1
3785401065,"BINANCE:KMNOUSDT, 28m",BINANCE:KMNOUSDT 28m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T11:40:03Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""KMNOUSDT"",
  ""timeframe"": ""28"",

  ""action"": ""buy"",
  ""order_id"": ""Master"",
  ""contracts"": ""195312"",

  ""close"": ""0.05120"",
  ""position_side"": ""long"",
  ""position_qty"": ""195312""
}

",2026-01-21T11:40:03Z,21/01/2026,11:40:03Z,BUY
3779372873,"MEXC:XMRUSDT, 61m",MEXC:XMRUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T11:11:27Z"",

  ""exchange"": ""MEXC"",
  ""symbol"": ""XMRUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""20"",

  ""close"": ""495.18"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T11:11:27Z,21/01/2026,11:11:27Z,SELL
3784483253,"GATE:VRAUSDT, 52m",GATE:VRAUSDT 52m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T10:24:01Z"",

  ""exchange"": ""GATE"",
  ""symbol"": ""VRAUSDT"",
  ""timeframe"": ""52"",

  ""action"": ""buy"",
  ""order_id"": ""Re-Long"",
  ""contracts"": ""169233372"",

  ""close"": ""0.00005910"",
  ""position_side"": ""long"",
  ""position_qty"": ""658312704""
}

",2026-01-21T10:24:01Z,21/01/2026,10:24:01Z,BUY
3780168308,"KUCOIN:VRAUSDT, 61m",KUCOIN:VRAUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T10:11:37Z"",

  ""exchange"": ""KUCOIN"",
  ""symbol"": ""VRAUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""111731843"",

  ""close"": ""0.0000918"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T10:11:37Z,21/01/2026,10:11:37Z,SELL
3780762380,"KUCOIN:VRAUSDT, 61m",KUCOIN:VRAUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T10:11:37Z"",

  ""exchange"": ""KUCOIN"",
  ""symbol"": ""VRAUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""buy"",
  ""order_id"": ""Master"",
  ""contracts"": ""108932461"",

  ""close"": ""0.0000918"",
  ""position_side"": ""long"",
  ""position_qty"": ""108932461""
}

",2026-01-21T10:11:37Z,21/01/2026,10:11:37Z,BUY
3780853206,"KUCOIN:LYXUSDT, 52m",KUCOIN:LYXUSDT 52m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T09:33:16Z"",

  ""exchange"": ""KUCOIN"",
  ""symbol"": ""LYXUSDT"",
  ""timeframe"": ""52"",

  ""action"": ""buy"",
  ""order_id"": ""Re-Long"",
  ""contracts"": ""28352"",

  ""close"": ""0.3518"",
  ""position_side"": ""long"",
  ""position_qty"": ""110984""
}

",2026-01-21T09:33:16Z,21/01/2026,09:33:16Z,BUY
3780168308,"KUCOIN:VRAUSDT, 61m",KUCOIN:VRAUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T09:10:22Z"",

  ""exchange"": ""KUCOIN"",
  ""symbol"": ""VRAUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""buy"",
  ""order_id"": ""Master"",
  ""contracts"": ""111731843"",

  ""close"": ""0.0000887"",
  ""position_side"": ""long"",
  ""position_qty"": ""111731843""
}

",2026-01-21T09:10:22Z,21/01/2026,09:10:22Z,BUY
3778864633,"BINANCE:XVSUSDT, 61m",BINANCE:XVSUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T09:10:05Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""XVSUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""buy"",
  ""order_id"": ""Master"",
  ""contracts"": ""1890"",

  ""close"": ""5.29"",
  ""position_side"": ""long"",
  ""position_qty"": ""1890""
}
",2026-01-21T09:10:05Z,21/01/2026,09:10:05Z,BUY
3784434232,"MEXC:VRAUSDT, 61m",MEXC:VRAUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T09:09:27Z"",

  ""exchange"": ""MEXC"",
  ""symbol"": ""VRAUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""buy"",
  ""order_id"": ""Re-Long"",
  ""contracts"": ""169664065"",

  ""close"": ""0.00005887"",
  ""position_side"": ""long"",
  ""position_qty"": ""496760150""
}

",2026-01-21T09:09:27Z,21/01/2026,09:09:27Z,BUY
3779372873,"MEXC:XMRUSDT, 61m",MEXC:XMRUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T09:09:14Z"",

  ""exchange"": ""MEXC"",
  ""symbol"": ""XMRUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""buy"",
  ""order_id"": ""Master"",
  ""contracts"": ""20"",

  ""close"": ""486.72"",
  ""position_side"": ""long"",
  ""position_qty"": ""20""
}

",2026-01-21T09:09:14Z,21/01/2026,09:09:14Z,BUY
